,user_id,signup_time,purchase_time,purchase_value,device_id,source,browser,sex,age,ip_address,label
0,159135,2015-05-21 6:03,2015-07-09 8:05,42,ALEYXFXINSXLZ,Ads,Chrome,M,18,2809315200.0,0
1,50116,2015-08-01 22:40,2015-08-27 3:37,11,IWKVZHJOCLPUR,Ads,Chrome,F,19,3987484329.0,0
2,182338,2015-01-25 17:49,2015-03-23 23:05,62,NRFFPPHZYFUVC,Ads,IE,M,31,341674739.6,0
3,199700,2015-07-11 18:26,2015-10-28 21:59,13,TEPSJVVXGNTYR,Ads,Safari,F,35,1819008578.0,0
4,73884,2015-05-29 16:22,2015-06-16 5:45,58,ZTZZJUCRDOCJZ,Direct,Chrome,M,32,4038284553.0,0
5,357386,2015-02-03 0:48,2015-03-24 18:27,40,NWSVDOHYIOBDR,Ads,FireFox,M,24,3037372279.0,0
6,221257,2015-05-29 17:55,2015-09-05 22:42,12,LGFXOENGXOBXI,SEO,IE,M,19,698700037.4,0
7,396746,2015-08-05 23:50,2015-08-14 12:08,56,JUWCOHMHRBDCL,SEO,IE,M,56,2937613755.0,0
8,256743,2015-06-12 19:11,2015-07-11 6:42,33,VVZIVFUBISCEV,SEO,IE,M,22,2260745439.0,0
9,262864,2015-05-03 8:12,2015-06-01 8:41,91,LYTLRYTPUANEC,Ads,Chrome,F,24,3580176912.0,0
10,254562,2015-05-12 18:58,2015-07-31 11:36,75,VYSNKKTTQIXQC,Ads,FireFox,F,45,2977122408.0,0
11,366068,2015-05-14 4:54,2015-07-11 3:24,69,JQYCFABXAMQVP,Direct,Chrome,M,31,3463946532.0,0
12,43831,2015-02-04 19:55,2015-03-26 9:03,21,GGRUOKKINWLQW,Ads,Safari,F,19,214597247.1,0
13,298557,2015-07-05 10:31,2015-08-04 2:57,23,SPKIAONPICJEU,SEO,Chrome,M,33,2040684696.0,0
14,142400,2015-06-28 21:49,2015-09-25 20:09,29,TDIYGYJRUSMNW,SEO,Chrome,M,39,1347788843.0,0
15,170701,2015-01-30 11:43,2015-02-06 7:41,45,NNSKETYBABELG,Ads,IE,M,45,347501160.7,0
16,10055,2015-04-06 23:14,2015-05-07 15:21,47,KDSEIVWEOCIEM,SEO,Chrome,F,36,2755626385.0,0
17,257432,2015-03-24 9:08,2015-04-06 2:30,41,HYRIZVROAHIAM,Ads,Safari,F,60,1391043538.0,0
18,31631,2015-05-09 7:29,2015-06-10 17:17,34,UQYDANBPZHEWL,Ads,Safari,F,27,171340899.4,0
19,378922,2015-05-24 4:19,2015-06-30 9:49,35,ORQNABNCVPQFJ,Direct,Safari,M,31,473388710.5,0
20,82593,2015-05-29 11:37,2015-06-15 7:53,43,RWOTVJDERDZSX,SEO,FireFox,M,39,3310832866.0,0
21,53372,2015-07-08 13:13,2015-09-14 1:34,59,ZVJDDCSISXMSE,Direct,IE,F,41,2951870320.0,0
22,254737,2015-05-20 8:42,2015-07-27 4:22,35,FSUGPBSTMIDJV,Direct,FireFox,M,56,1612457072.0,0
23,235741,2015-07-07 3:33,2015-07-12 5:34,63,EWMIAJTNJQYWM,Ads,FireFox,F,19,3208200046.0,0
24,162603,2015-07-30 0:25,2015-10-12 4:28,26,LEAPEDUGFIJAS,SEO,Chrome,M,31,3427602390.0,0
25,149174,2015-06-21 11:41,2015-09-07 2:04,80,LMQNZVDEQQDTY,Ads,Chrome,M,25,3557546660.0,0
26,348260,2015-01-10 17:13,2015-01-10 17:13,18,VOQAAYLLJLUII,SEO,Safari,M,27,798938591.3,0
27,105602,2015-04-19 17:29,2015-06-06 1:05,51,ZQNABKGFCDXUE,SEO,Chrome,F,33,2441342799.0,0
28,68111,2015-04-09 16:16,2015-07-09 13:56,22,ZNJBXXOLHQEPV,Ads,IE,F,36,3549663630.0,0
29,62613,2015-05-12 21:55,2015-06-13 23:49,15,ZOEHTLBIHIQGQ,Ads,Chrome,M,23,1247699820.0,0
30,100998,2015-04-02 11:41,2015-06-17 16:13,35,FVATIULWVWOFY,Direct,Safari,M,40,3567728458.0,0
31,127860,2015-08-04 16:59,2015-08-08 17:51,44,MHRRDYZAKZPML,SEO,Chrome,M,30,418455690.9,0
32,94737,2015-05-19 1:33,2015-05-29 13:28,39,XXRKCABWPFFTX,Ads,FireFox,M,41,1019800933.0,0
33,64023,2015-06-14 4:04,2015-07-06 1:08,11,JXUGZJLXGXSHV,Ads,Safari,F,25,641404466.3,0
34,295851,2015-04-24 18:24,2015-07-27 17:59,33,YCBZTKJIDEPCN,Ads,IE,M,33,858376272.2,0
35,291038,2015-05-27 6:08,2015-08-11 1:00,36,XYKOTLOBNUXTV,Direct,Chrome,M,28,557643172.2,0
36,152764,2015-01-16 15:22,2015-04-29 23:22,68,IBHPMZGGGULNG,Ads,Safari,F,32,3455520007.0,0
37,170138,2015-01-08 9:32,2015-01-08 9:33,14,GTIYVLCMAYBFA,Ads,FireFox,M,39,2141691948.0,0
38,33840,2015-01-07 14:00,2015-01-07 14:00,32,NPZFSQBLEKLTN,SEO,Chrome,F,28,3828716002.0,0
39,203522,2015-07-15 0:21,2015-07-24 20:27,63,TFTYFMIYNDLXL,SEO,Chrome,M,36,320708582.7,0
40,392375,2015-07-13 2:13,2015-10-02 14:04,31,KSYUUDHAXNLAN,SEO,FireFox,M,25,3498823268.0,0
